"rep","arm","violations","sampled","knobs"
"1","baseline","28466","2074304","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"1","cas+plain","0","7819369","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"1","cas+acqload","0","3689626","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
"2","baseline","300","1659540","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"2","cas+plain","0","6281644","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"2","cas+acqload","0","5604691","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
"3","baseline","210","1739856","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"3","cas+plain","0","5368991","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=plain"
"3","cas+acqload","0","5148255","LE_ACQUIRE_ORDER=cas (default)  LE_REFRESH_ORDER=acqload"
